Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",65.532000,-46.736000,90.000000,bottom
"C2","10uF","C_0805_2012Metric",87.630000,-48.072000,90.000000,bottom
"C3","2u2","C_0805_2012Metric",95.758000,-49.022000,90.000000,bottom
"C4","100n","C_0603_1608Metric",93.218000,-49.276000,90.000000,bottom
"C5","12pF","C_0603_1608Metric",99.060000,-76.708000,90.000000,bottom
"C6","12pF","C_0603_1608Metric",91.440000,-76.708000,-90.000000,bottom
"C7","2u2","C_0805_2012Metric",90.932000,-57.658000,90.000000,bottom
"C8","100n","C_0603_1608Metric",87.376000,-74.168000,-90.000000,bottom
"C9","100n","C_0603_1608Metric",103.124000,-63.119000,0.000000,bottom
"C10","100n","C_0603_1608Metric",94.234000,-57.912000,90.000000,bottom
"C11","2u2","C_0805_2012Metric",86.969600,-57.658000,90.000000,bottom
"C12","100n","C_0603_1608Metric",88.950800,-57.861200,90.000000,bottom
"C13","100n","C_0603_1608Metric",86.106000,-61.087000,180.000000,bottom
"C14","100n","C_0603_1608Metric",89.154000,-74.168000,-90.000000,bottom
"Card1","XKTF-015-N","TF-SMD_XKTF-015-N",52.830000,-49.134000,0.000000,bottom
"D1","LL4148","D_MiniMELF",34.544000,-90.424000,-90.000000,bottom
"D2","LL4148","D_MiniMELF",54.102000,-90.424000,-90.000000,bottom
"D3","LL4148","D_MiniMELF",74.422000,-90.424000,-90.000000,bottom
"D4","LL4148","D_MiniMELF",95.504000,-90.170000,-90.000000,bottom
"D5","LL4148","D_MiniMELF",34.544000,-114.300000,-90.000000,bottom
"D6","LL4148","D_MiniMELF",54.864000,-114.300000,-90.000000,bottom
"D7","LL4148","D_MiniMELF",75.184000,-114.300000,-90.000000,bottom
"D8","LL4148","D_MiniMELF",95.504000,-114.300000,-90.000000,bottom
"D9","LL4148","D_MiniMELF",34.544000,-134.620000,-90.000000,bottom
"D10","LL4148","D_MiniMELF",54.864000,-134.620000,-90.000000,bottom
"D11","LL4148","D_MiniMELF",75.184000,-134.620000,-90.000000,bottom
"D12","LL4148","D_MiniMELF",95.504000,-134.620000,-90.000000,bottom
"FPC1","FPC-05F-18PH20","FPC-SMD_18P-P0.50_FPC-05F-18PH20",77.724000,-64.516000,90.000000,bottom
"J1","Conn_01x05_Pin","PinHeader_1x05_P1.27mm_Vertical",116.840000,-85.090000,180.000000,bottom
"LED1","SK6812MINI-EA","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA",42.164000,-93.980000,180.000000,bottom
"LED2","SK6812MINI-EA","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA",62.484000,-93.980000,180.000000,bottom
"LED3","SK6812MINI-EA","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA",82.804000,-93.980000,180.000000,bottom
"LED4","SK6812MINI-EA","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA",103.124000,-93.980000,180.000000,bottom
"LED5","SK6812MINI-EA","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA",42.164000,-114.300000,180.000000,bottom
"LED6","SK6812MINI-EA","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA",62.484000,-114.300000,180.000000,bottom
"LED7","SK6812MINI-EA","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA",82.804000,-114.300000,180.000000,bottom
"LED8","SK6812MINI-EA","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA",103.124000,-114.300000,180.000000,bottom
"LED9","SK6812MINI-EA","LED-SMD_4P-L3.2-W2.8_SK6812MINI-EA",42.164000,-134.620000,180.000000,bottom
