Ref,Val,Package,PosX,PosY,Rot,Side
"","","",234.775682,-147.066000,0.000000,top
"","","",234.775682,-44.069000,0.000000,top
"","","",220.472000,-44.069000,0.000000,top
"","","",124.587000,-147.066000,0.000000,top
"","","",124.841000,-43.942000,0.000000,top
"","","",220.472000,-147.066000,0.000000,top
"","","",211.328000,-44.196000,0.000000,top
"SW1","ED11301M-FB12A4.0-C20-102-G219","SW-TH_CTR_ED11301M-FB12A4.0-C20-102-G219",106.934000,-60.960000,0.000000,top
"SW_CN1","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",42.164000,-99.060000,180.000000,top
"SW_CN2","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",62.484000,-99.060000,180.000000,top
"SW_CN3","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",82.804000,-99.060000,180.000000,top
"SW_CN4","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",103.124000,-99.060000,180.000000,top
"SW_CN5","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",42.164000,-119.380000,180.000000,top
"SW_CN6","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",62.484000,-119.380000,180.000000,top
"SW_CN7","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",82.804000,-119.380000,180.000000,top
"SW_CN8","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",103.124000,-119.380000,180.000000,top
"SW_CN9","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",42.164000,-139.700000,180.000000,top
"SW_CN10","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",62.484000,-139.700000,180.000000,top
"SW_CN11","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",82.804000,-139.700000,180.000000,top
"SW_CN12","CPG151101S11-16","SW_Hotswap_Kailh_MX_1.00u",103.124000,-139.700000,180.000000,top
